anime_id,studios
11771,Production I.G
50631,OLM
35062,Wit Studio
42941,Studio Kai
52741,David Production
40907,Toei Animation
24277,TMS Entertainment
39783,Bibury Animation Studios
6547,P.A. Works
1471,Sunrise
2025,Bones
27833,Shuka
38668,MAPPA
1974,Tokyo Movie Shinsha
8425,Bones
38993,Shin-Ei Animation
237,Bones
31251,Sunrise
41402,Bandai Namco Pictures
1559,TMS Entertainment
34822,feel.
2164,Madhouse
18679,Trigger
2034,Toei Animation
25013,Pierrot
37870,SANZIGEN
889,Madhouse
36456,Bones
72,Kyoto Animation
2004,Madhouse
1482,TMS Entertainment
589,Toei Animation
153,Pierrot
1914,Madhouse
42923,Bones
535,E&G Films
16049,J.C.Staff
6211,Bones
6211,Kinema Citrus
14813,Brains Base
40174,MAPPA
27663,Pierrot
7054,J.C.Staff
14513,A-1 Pictures
44235,Shin-Ei Animation
49782,CloverWorks
16706,Manglobe
6045,Production I.G
35788,J.C.Staff
1065,Group TAC
66,J.C.Staff
2167,Kyoto Animation
4789,Shaft
16,J.C.Staff
27989,Kyoto Animation
9996,Bee Train
39468,Ajia-do
20,Pierrot
50346,LIDENFILMS
861,Production I.G
23199,Shuka
40716,Ajia-do
9656,Production I.G
40397,Doga Kobo
846,Studio Comet
53199,Sunrise
77,Seven Arcs
16067,P.A. Works
46422,J.C.Staff
7720,A-1 Pictures
30015,TMS Entertainment
35790,Kinema Citrus
42249,LIDENFILMS
31173,Bones
42250,Bones
42250,Nomad
27831,Shuka
387,Radix
39570,J.C.Staff
223,Toei Animation
967,Toei Animation
33206,Kyoto Animation
25879,A-1 Pictures
32615,Nut
996,Toei Animation
1530,Kyoto Animation
5678,Madhouse
41169,Sunrise
20507,Bones
36949,J.C.Staff
2076,Toei Animation
10721,Brains Base
17549,SILVER LINK.
10049,Studio Deen
31174,Pierrot
5682,Bee Train
2618,Tokyo Movie Shinsha
35968,A-1 Pictures
54790,Lapin Track
38084,CloverWorks
122,Studio Deen
269,Pierrot
21855,Shaft
38337,Encourage Films
11239,Shaft
38080,Platinum Vision
15689,Shaft
52347,C2C
18179,TMS Entertainment
658,Madhouse
15,Gallop
73,Kyoto Animation
11739,J.C.Staff
427,Gonzo
6774,Toei Animation
12031,Pierrot
17265,Satelight
37675,Madhouse
29803,Madhouse
27775,Doga Kobo
48580,Bones
51552,Kinema Citrus
28,Sunrise
30279,TYO Animations
14075,Bones
1470,Sunrise
38408,Bones
790,Manglobe
35222,Brains Base
3907,E&G Films
9289,P.A. Works
7062,Shaft
13331,White Fox
85,Sunrise
48926,OLM
27947,Telecom Animation Film
1088,Tatsunoko Production
28297,Madhouse
114,Production I.G
12815,Pierrot
37786,TROYCA
32995,MAPPA
3228,Shaft
41389,Seven Arcs
31098,MAPPA
31098,Studio VOLN
532,Toei Animation
2924,Shaft
31339,Hoods Entertainment
2829,Nippon Animation
14719,David Production
49828,Sunrise
3572,Satelight
957,Madhouse
24,Studio Comet
10080,Manglobe
1695,Nippon Animation
36563,TMS Entertainment
2159,A-1 Pictures
20057,Bones
2158,Tokyo Kids
2158,Minami Machi Bugyousho
31964,Bones
7645,Toei Animation
36028,Geno Studio
934,Studio Deen
36593,Toei Animation
1594,Studio Deen
35075,Studio Deen
52976,Studio 4°C
51680,Pierrot
55742,Studio Kafka
569,Tatsunoko Production
54918,LIDENFILMS
22,Trans Arts
6377,Shaft
35507,Lerche
9513,Pierrot Plus
37435,Bones
48702,MAPPA
2828,Madhouse
2828,TMS Entertainment
249,Sunrise
42745,J.C.Staff
25517,A-1 Pictures
322,Madhouse
2605,Shaft
9941,Sunrise
37029,Studio Deen
5680,Kyoto Animation
39534,Lerche
31741,Lay-duce
795,Tezuka Productions
400,Sunrise
11123,Studio Deen
3588,Bones
52093,Orange
17909,P.A. Works
53126,Madhouse
6586,Studio Hibari
849,Kyoto Animation
32093,SILVER LINK.
52305,Lay-duce
890,Sunrise
32998,Shuka
39195,Orange
388,Studio Comet
23289,Doga Kobo
267,Madhouse
3604,Shaft
40046,NAZ
4087,Manglobe
39575,Satelight
39575,HORNETS
12445,SILVER LINK.
6582,AIC ASTA
10521,A-1 Pictures
12403,Doga Kobo
31478,Bones
2035,Ajia-do
49220,AtelierPontdarc
1485,Pierrot
46352,Seven Arcs
2471,Shin-Ei Animation
40956,David Production
28669,Toei Animation
2762,Group TAC
253,Shin-Ei Animation
33489,Trigger
34745,Production I.G
49784,Bandai Namco Pictures
50739,Project No.9
1172,E&G Films
202,Bones
21185,Pierrot
1472,Sunrise
12413,White Fox
42670,CygamesPictures
34451,Bones
97,Gonzo
51297,SILVER LINK.
397,Sunrise
43439,CloverWorks
45055,SynergySP
22319,Pierrot
40935,Orange
1491,Toei Animation
283,Nippon Animation
966,Shin-Ei Animation
41461,Geek Toys
29787,Kinema Citrus
29787,White Fox
49738,Science SARU
20431,Wit Studio
3545,Gallop
48849,Madhouse
80,Sunrise
49776,feel.
49776,Gaina
1425,Tokyo Movie Shinsha
19111,Sunrise
13203,TMS Entertainment
7588,Manglobe
552,Toei Animation
31433,Production I.G
21877,J.C.Staff
26,Madhouse
95,Sunrise
3750,Studio Deen
35073,Madhouse
210,Studio Deen
30727,A-1 Pictures
30123,Bones
31733,Toei Animation
1571,J.C.Staff
29095,8bit
28999,P.A. Works
1473,Sunrise
2508,Arms
5630,Production I.G
32673,LIDENFILMS
39196,Bandai Namco Pictures
353,Toei Animation
1254,Toei Animation
154,Xebec
93,Sunrise
11887,SILVER LINK.
4080,Studio Deen
1887,Kyoto Animation
52955,Studio Kafka
709,Madhouse
709,Telecom Animation Film
39940,J.C.Staff
1818,Madhouse
40906,Toei Animation
1281,Pierrot
17895,J.C.Staff
15809,White Fox
43691,PINE JAM
1279,Pierrot
5005,AIC ASTA
1293,Pierrot
1293,Studio Deen
407,Pierrot
18153,Kyoto Animation
8795,Gainax
31592,OLM
7724,Daume
534,E&G Films
37924,Fanworks
37924,Imagineer
530,Toei Animation
38145,Zero-G
6033,Toei Animation
47164,J.C.Staff
19319,Sunrise
740,Toei Animation
31637,A-1 Pictures
47160,LIDENFILMS
10357,AIC ASTA
8311,Pierrot Plus
50273,Okuruto Noboru
479,Studio Deen
1562,Nippon Animation
50203,Sunrise
24893,Polygon Pictures
19703,Toei Animation
9074,Shaft
6024,Madhouse
14741,Kyoto Animation
51916,GoHands
38671,David Production
33899,TROYCA
38619,Passione
4814,Studio Deen
2582,Sunrise
5074,A-1 Pictures
51536,CygamesPictures
43523,C2C
1000,Toei Animation
40620,Studio Blanc.
34284,Studio Gokumi
35860,Shin-Ei Animation
34914,Doga Kobo
32370,TMS Entertainment
5835,Pierrot
5231,OLM
8426,AIC Classic
48553,CloverWorks
39959,Fanworks
120,Studio Deen
28907,A-1 Pictures
36094,Lerche
50608,LIDENFILMS
1375,Nippon Animation
516,Sunrise
48916,Sunrise
51678,Studio Bind
50613,LIDENFILMS
32491,LIDENFILMS
32491,LIDENFILMS Kyoto Studio
324,Sunrise
35240,Actas
35240,Studio 3Hz
20847,GoHands
90,Sunrise
7193,Madhouse
477,Hal Film Maker
8516,SILVER LINK.
22777,Toei Animation
53716,Toei Animation
40357,Kinema Citrus
53446,MAPPA
34445,Studio Gokumi
2451,Tokyo Movie Shinsha
182,Sunrise
6213,J.C.Staff
323,Madhouse
2547,Nippon Animation
2104,Gonzo
2104,AIC
5485,Bee Media
5485,Code
35503,Kinema Citrus
33502,Satelight
33502,C2C
37956,Hoods Entertainment
3841,Madhouse
13535,Sunrise
4192,J.C.Staff
38101,Tezuka Productions
48804,OLM
28249,SANZIGEN
28249,LIDENFILMS
33337,Madhouse
21405,Brains Base
33354,Madhouse
233,J.C.Staff
8687,Shin-Ei Animation
12883,A-1 Pictures
36653,Kyoto Animation
8525,Manglobe
10460,J.C.Staff
4898,A-1 Pictures
50695,Felix Film
9510,Bridge
23755,A-1 Pictures
5530,Xebec
396,Sunrise
31227,Toei Animation
2963,Daume
14511,feel.
31764,Madhouse
22043,A-1 Pictures
22043,Bridge
31859,A-1 Pictures
6956,A-1 Pictures
31783,TMS Entertainment
39071,J.C.Staff
12021,Studio Deen
36513,Zexcs
9926,Studio Deen
19775,Polygon Pictures
32717,Bandai Namco Pictures
21995,Production I.G
39681,SANZIGEN
874,Toei Animation
74,Group TAC
34542,MAPPA
42625,MAPPA
14941,Satelight
1239,Toei Animation
52229,Bandai Namco Pictures
32979,Studio 3Hz
240,Palm Studio
488,Daume
852,Toei Animation
48491,8bit
251,Studio Deen
1412,Tokyo Movie Shinsha
1915,Seven Arcs
444,Studio Deen
290,Sunrise
18119,A-1 Pictures
32792,Sunrise
28927,Wit Studio
32729,Telecom Animation Film
65,Nomad
582,Magic Bus
21843,MAPPA
32977,Fanworks
52193,P.A. Works
150,Production I.G
951,Nippon Animation
60,Gonzo
345,Pierrot
22265,Kyoto Animation
22265,Animation Do
24765,Lerche
25649,Studio Deen
54842,J.C.Staff
53526,Studio Kai
856,OLM
30549,Xebec
30549,I.Gzwei
6444,Pierrot Plus
10278,A-1 Pictures
2557,Nippon Animation
18245,Satelight
43299,CloverWorks
331,Nippon Animation
7592,Studio Deen
35067,Pierrot
30240,J.C.Staff
32836,Satelight
47257,J.C.Staff
1690,Gonzo
32948,Zexcs
123,Pierrot
18055,Studio Deen
54362,Yokohama Animation Lab
160,AIC
228,Studio Deen
3713,Studio Deen
37869,SANZIGEN
71,Gonzo
36704,Kyoto Animation
36704,Animation Do
50425,studio MOTHER
106,Toei Animation
22101,Pierrot
1650,Group TAC
24439,Bones
1606,Sunrise
35079,Lerche
5494,Nippon Animation
1483,Madhouse
42351,Doga Kobo
145,Gainax
145,J.C.Staff
2985,Madhouse
1699,Gonzo
49858,J.C.Staff
41433,Pierrot
1946,Toei Animation
110,Nippon Animation
37972,8bit
41488,8bit
35672,8bit
39597,A-1 Pictures
15731,TYO Animations
50307,Seven Arcs
969,Bee Train
24405,Toei Animation
35789,TMS Entertainment
9441,Studio Hibari
96,Sunrise
51815,PINE JAM
34973,Sunrise
34577,A-1 Pictures
33253,Polygon Pictures
42238,Fanworks
2213,Tezuka Productions
35972,A-1 Pictures
35972,Bridge
35972,CloverWorks
31931,Xebec
4725,AIC Spirits
4725,asread.
132,Studio Deen
2800,Toei Animation
2229,Toei Animation
6702,Satelight
6702,A-1 Pictures
37958,Pierrot Plus
51462,Zero-G
1567,TMS Entertainment
36470,Doga Kobo
29854,MAPPA
29854,Studio VOLN
10495,Doga Kobo
23321,Studio Deen
18897,Shaft
584,Satelight
40351,OLM
39355,Lerche
40392,Ezόla
5507,A-1 Pictures
52211,A-1 Pictures
31953,Doga Kobo
10161,Bones
53874,OLM
17249,Tatsunoko Production
17249,Dongwoo A&E
7647,Shaft
48779,Encourage Films
23251,TMS Entertainment
9065,Studio Deen
1356,Toei Animation
2037,Gallop
2012,Toei Animation
27991,GoHands
38578,Toei Animation
34902,Studio Gokumi
36474,A-1 Pictures
1985,Toei Animation
21435,8bit
1372,Studio Deen
2558,Nippon Animation
28677,LIDENFILMS
40221,Telecom Animation Film
40571,C2C
5162,asread.
3001,Telecom Animation Film
3001,Shirogumi
3673,Bones
3673,Telecom Animation Film
2549,Nippon Animation
34561,TROYCA
32542,Studio Deen
8675,GoHands
2787,J.C.Staff
34547,MAPPA
1557,Studio Deen
880,AIC
18671,Kyoto Animation
129,Pierrot
37141,David Production
37007,Gonzo
17,Nippon Animation
67,Gonzo
53881,Yostar Pictures
33988,A-1 Pictures
28121,J.C.Staff
7661,Studio Deen
38790,SILVER LINK.
49891,C2C
18139,Shin-Ei Animation
16241,Production I.G
32681,Trigger
4651,Toei Animation
