anime_id,theme
31240,Psychological
31240,Time Travel
44055,Otaku Culture
44055,School
1842,Team Sports
2966,Adult Cast
38003,Adult Cast
38003,Detective
38003,Organized Crime
38003,Super Power
48736,Otaku Culture
48736,School
38680,Love Polygon
38680,School
40052,Adult Cast
45577,Idols (Male)
45577,Music
2150,Iyashikei
6,Adult Cast
53393,Survival
3091,
23847,Love Polygon
23847,School
25681,Mythology
16894,School
16894,Team Sports
18115,
627,Team Sports
35838,Iyashikei
9863,School
49052,Team Sports
1142,Adult Cast
1142,Love Polygon
1142,Visual Arts
42897,School
6811,Historical
6811,Love Polygon
6811,Mythology
6811,Time Travel
49114,Historical
49114,Vampire
54714,Harem
54714,Parody
54714,School
440,Mahou Shoujo
440,Psychological
440,School
50709,
1453,Adult Cast
558,Team Sports
3226,Team Sports
40729,Adult Cast
40729,Combat Sports
32843,Idols (Female)
32843,Music
37171,Gag Humor
37171,School
54959,Music
32867,Adult Cast
32867,Detective
32867,Organized Crime
32867,Super Power
18195,School
23623,CGDCT
23623,Iyashikei
23623,School
7674,Otaku Culture
34636,Performing Arts
10800,Love Polygon
10800,School
10800,Strategy Game
22297,
1889,Gore
1889,Psychological
962,Iyashikei
1519,Adult Cast
1519,Organized Crime
235,Detective
40852,Survival
40852,Time Travel
813,Martial Arts
813,Super Power
7791,CGDCT
7791,Music
7791,School
38481,Super Power
40911,Adult Cast
40911,Historical
40911,Organized Crime
40911,Psychological
232,Mahou Shoujo
232,School
48549,Time Travel
18,Racing
186,Racing
853,Crossdressing
853,Reverse Harem
853,School
50380,Adult Cast
50380,Music
50380,Reincarnation
50380,Showbiz
30503,Mythology
28171,School
34572,
53411,Childcare
53411,Organized Crime
28223,Adult Cast
28223,High Stakes Game
28223,Psychological
37962,Idols (Male)
37962,Music
46569,Gore
46569,Historical
46569,Mythology
46569,Samurai
3701,Adult Cast
11597,
4477,Adult Cast
4477,Music
721,Mahou Shoujo
721,Performing Arts
50416,School
37430,Isekai
37430,Reincarnation
51096,Psychological
51096,School
39792,Otaku Culture
39792,School
239,
50528,Adult Cast
50528,Historical
50528,Military
36296,Childcare
36296,Organized Crime
1604,Organized Crime
1604,Super Power
35857,Adult Cast
1827,
39592,Mecha
39592,Military
39592,Space
18689,School
18689,Team Sports
6746,
121,Military
2581,Mecha
2581,Military
2581,Space
30831,Isekai
30831,Parody
30831,Reincarnation
8129,Crossdressing
8129,Visual Arts
302,
52826,School
33486,School
33486,Super Power
40815,Isekai
40815,Reincarnation
20899,
14713,Mythology
48895,Isekai
339,Psychological
28025,
34076,Mythology
23283,Detective
23283,Psychological
24833,School
16918,School
15059,Racing
49709,
135,School
135,Strategy Game
39198,Space
39198,Survival
3927,Mecha
3927,Military
3927,Space
50796,School
13759,School
13759,Visual Arts
4722,Love Polygon
4722,Showbiz
32282,School
4224,Love Polygon
4224,School
54112,Adult Cast
54112,Survival
42429,Isekai
42429,Reincarnation
12189,School
22145,Historical
22145,Mythology
19815,Isekai
19815,Strategy Game
1486,Love Polygon
1486,Showbiz
11771,School
11771,Team Sports
50631,Romantic Subtext
50631,School
35062,Mythology
42941,Anthropomorphic
52741,Super Power
40907,
24277,Racing
39783,Harem
39783,School
6547,School
1471,
2025,Super Power
27833,
38668,Gore
1974,Performing Arts
1974,Showbiz
8425,Historical
38993,Romantic Subtext
38993,School
237,Mecha
31251,Mecha
31251,Space
41402,Isekai
41402,Mythology
41402,School
1559,Martial Arts
1559,School
34822,School
2164,
18679,School
18679,Super Power
2034,School
25013,
37870,Music
889,Adult Cast
889,Organized Crime
36456,School
36456,Super Power
72,Gag Humor
72,School
2004,
1482,Mythology
1482,Super Power
589,Anthropomorphic
153,Isekai
1914,Historical
1914,Reverse Harem
42923,Racing
535,
16049,Super Power
6211,
14813,Love Polygon
14813,School
40174,Idols (Female)
40174,Music
40174,Parody
27663,School
7054,School
14513,
44235,Anthropomorphic
44235,Racing
49782,
16706,Harem
16706,Otaku Culture
6045,School
35788,School
1065,Love Polygon
1065,School
1065,Team Sports
66,CGDCT
66,Gag Humor
66,School
2167,School
4789,
16,Adult Cast
16,Love Polygon
16,Visual Arts
27989,Music
27989,Performing Arts
27989,School
9996,Adult Cast
9996,Historical
9996,Samurai
