anime_id,url,title,title_english,source,episodes,status,aired start,aired finish,duration(minutes per episode),rating,score,scored by (#users),rank,popularity(rank),season,calculated year,year,broadcast day,producers,studios,genres,theme,demographic,members
47917,https://myanimelist.net/anime/47917/Bocchi_the_Rock,Bocchi the Rock!,Bocchi the Rock!,4-koma manga,12,Finished Airing,10/9/2022,12/25/2022,23,PG-13 - Teens 13 or older,8.82,285221,30,445,fall,2022,2022,Sundays,"Aniplex, Houbunsha",CloverWorks,Comedy,"CGDCT, Music",NA,480965
36838,https://myanimelist.net/anime/36838/Gintama__Shirogane_no_Tamashii-hen,Gintama.: Shirogane no Tamashii-hen,Gintama.: Silver Soul Arc,Manga,12,Finished Airing,1/8/2018,3/26/2018,24,PG-13 - Teens 13 or older,8.81,100399,31,1126,winter,2018,2018,Mondays,"TV Tokyo, Aniplex, Dentsu, Shueisha",Bandai Namco Pictures,"Action, Comedy, Sci-Fi","Gag Humor, Historical, Parody, Samurai",Shounen,205127
40682,https://myanimelist.net/anime/40682/Kingdom_3rd_Season,Kingdom 3rd Season,Kingdom: Season 3,Manga,26,Finished Airing,4/6/2020,10/17/2021,25,R - 17+ (violence & profanity),8.81,36080,32,2057,spring,2020,2020,Mondays,Shueisha,"Pierrot, Studio Signpost",Action,"Historical, Military",Seinen,94769
49387,https://myanimelist.net/anime/49387/Vinland_Saga_Season_2,Vinland Saga Season 2,Vinland Saga Season 2,Manga,24,Finished Airing,1/10/2023,6/20/2023,25,R - 17+ (violence & profanity),8.81,237440,33,411,winter,2023,2023,Tuesdays,"Dentsu, Kodansha, Twin Engine",MAPPA,"Action, Adventure, Drama","Gore, Historical",Seinen,513438
37510,https://myanimelist.net/anime/37510/Mob_Psycho_100_II,Mob Psycho 100 II,Mob Psycho 100 II,Web manga,13,Finished Airing,1/7/2019,4/1/2019,24,PG-13 - Teens 13 or older,8.8,926412,34,73,winter,2019,2019,Mondays,"Warner Bros. Japan, KlockWorx, BS Fuji, Hakuhodo DY Music & Pictures, Shogakukan",Bones,"Action, Comedy, Supernatural",Super Power,NA,1469321
40028,https://myanimelist.net/anime/40028/Shingeki_no_Kyojin__The_Final_Season,Shingeki no Kyojin: The Final Season,Attack on Titan: Final Season,Manga,16,Finished Airing,12/7/2020,3/29/2021,23,R - 17+ (violence & profanity),8.79,1254737,36,39,winter,2020,2021,Mondays,"Production I.G, Dentsu, Mainichi Broadcasting System, Pony Canyon, Kodansha, Techno Sound, Pony Canyon Enterprises",MAPPA,"Action, Drama, Suspense","Gore, Military, Survival",Shounen,1897749
53998,https://myanimelist.net/anime/53998/Bleach__Sennen_Kessen-hen_-_Ketsubetsu-tan,Bleach: Sennen Kessen-hen - Ketsubetsu-tan,Bleach: Thousand-Year Blood War - The Separation,Manga,13,Finished Airing,7/8/2023,9/30/2023,24,R - 17+ (violence & profanity),8.79,79622,37,1117,summer,2023,2023,Saturdays,"TV Tokyo, Aniplex, Dentsu, Shueisha, Zack Promotion",Pierrot,"Action, Adventure, Fantasy",NA,Shounen,206654
32935,https://myanimelist.net/anime/32935/Haikyuu_Karasuno_Koukou_vs_Shiratorizawa_Gakuen_Koukou,Haikyuu!! Karasuno Koukou vs. Shiratorizawa Gakuen Koukou,Haikyu!! 3rd Season,Manga,10,Finished Airing,10/8/2016,12/10/2016,24,PG-13 - Teens 13 or older,8.78,772441,38,118,fall,2016,2016,Saturdays,"Dentsu, Mainichi Broadcasting System, Movic, Sony Music Entertainment, TOHO animation, Shueisha",Production I.G,Sports,"School, Team Sports",Shounen,1163882
47778,https://myanimelist.net/anime/47778/Kimetsu_no_Yaiba__Yuukaku-hen,Kimetsu no Yaiba: Yuukaku-hen,Demon Slayer: Kimetsu no Yaiba Entertainment District Arc,Manga,11,Finished Airing,12/5/2021,2/13/2022,26,R - 17+ (violence & profanity),8.78,830632,39,95,winter,2021,2022,Sundays,"Aniplex, Shueisha",ufotable,"Action, Fantasy",Historical,Shounen,1321672
17074,https://myanimelist.net/anime/17074/Monogatari_Series__Second_Season,Monogatari Series: Second Season,Monogatari Series: Second Season,Light novel,26,Finished Airing,7/7/2013,12/29/2013,25,R - 17+ (violence & profanity),8.77,350254,41,298,summer,2013,2013,Sundays,"Aniplex, Kodansha, Cyclone Graphics",Shaft,"Comedy, Mystery, Romance, Supernatural",Vampire,NA,655628
48583,https://myanimelist.net/anime/48583/Shingeki_no_Kyojin__The_Final_Season_Part_2,Shingeki no Kyojin: The Final Season Part 2,Attack on Titan: Final Season Part 2,Manga,12,Finished Airing,1/10/2022,4/4/2022,23,R - 17+ (violence & profanity),8.77,665486,42,113,winter,2022,2022,Mondays,"Production I.G, Dentsu, Mainichi Broadcasting System, Pony Canyon, Kodansha, Pony Canyon Enterprises",MAPPA,"Action, Drama","Gore, Military, Survival",Shounen,1185179
52034,https://myanimelist.net/anime/52034/Oshi_no_Ko,"""Oshi no Ko""",[Oshi No Ko],Manga,11,Finished Airing,4/12/2023,6/28/2023,30,PG-13 - Teens 13 or older,8.76,378965,43,289,spring,2023,2023,Wednesdays,"Shueisha, CyberAgent, Kadokawa",Doga Kobo,"Drama, Supernatural","Reincarnation, Showbiz",Seinen,671975
263,https://myanimelist.net/anime/263/Hajime_no_Ippo,Hajime no Ippo,Fighting Spirit,Manga,75,Finished Airing,10/4/2000,3/27/2002,23,PG-13 - Teens 13 or older,8.76,276517,44,370,fall,2000,2000,Tuesdays,VAP,Madhouse,Sports,Combat Sports,Shounen,564051
1,https://myanimelist.net/anime/1/Cowboy_Bebop,Cowboy Bebop,Cowboy Bebop,Original,26,Finished Airing,4/3/1998,4/24/1999,24,R - 17+ (violence & profanity),8.75,933288,45,43,spring,1998,1998,Saturdays,Bandai Visual,Sunrise,"Action, Award Winning, Sci-Fi","Adult Cast, Space",NA,1807209
54595,https://myanimelist.net/anime/54595/Kage_no_Jitsuryokusha_ni_Naritakute_2nd_Season,Kage no Jitsuryokusha ni Naritakute! 2nd Season,The Eminence in Shadow Season 2,Light novel,12,Currently Airing,10/4/2023,,23,R - 17+ (violence & profanity),8.75,17463,46,1224,fall,2023,2023,Wednesdays,"AT-X, Magic Capsule, BS NTV, Kadokawa, NewGin, Aiming",Nexus,"Action, Comedy, Fantasy","Isekai, Reincarnation",NA,185500
37521,https://myanimelist.net/anime/37521/Vinland_Saga,Vinland Saga,,Manga,24,Finished Airing,7/8/2019,12/30/2019,24,R - 17+ (violence & profanity),8.75,809199,47,81,summer,2019,2019,Mondays,"Production I.G, Dentsu, Kodansha, Twin Engine",Wit Studio,"Action, Adventure, Drama","Gore, Historical",Seinen,1419969
50160,https://myanimelist.net/anime/50160/Kingdom_4th_Season,Kingdom 4th Season,Kingdom: Season 4,Manga,26,Finished Airing,4/10/2022,10/2/2022,24,R - 17+ (violence & profanity),8.74,22889,48,2802,spring,2022,2022,Sundays,"Avex Pictures, Shueisha, NHK Enterprises","Pierrot, Studio Signpost",Action,"Historical, Military",Seinen,56821
24701,https://myanimelist.net/anime/24701/Mushishi_Zoku_Shou_2nd_Season,Mushishi Zoku Shou 2nd Season,Mushi-shi: Next Passage Part 2,Manga,10,Finished Airing,10/19/2014,12/21/2014,23,PG-13 - Teens 13 or older,8.73,103184,49,892,fall,2014,2014,Sundays,"Aniplex, Kodansha, Delfi Sound",Artland,"Adventure, Mystery, Slice of Life, Supernatural","Adult Cast, Historical, Iyashikei",Seinen,258705
33095,https://myanimelist.net/anime/33095/Shouwa_Genroku_Rakugo_Shinjuu__Sukeroku_Futatabi-hen,Shouwa Genroku Rakugo Shinjuu: Sukeroku Futatabi-hen,Descending Stories: Showa Genroku Rakugo Shinju,Manga,12,Finished Airing,1/7/2017,3/25/2017,24,PG-13 - Teens 13 or older,8.72,63717,50,1239,winter,2017,2017,Saturdays,"Mainichi Broadcasting System, Kodansha, DAX Production, King Records",Studio Deen,Drama,"Adult Cast, Historical, Love Polygon, Performing Arts",Josei,183258
2921,https://myanimelist.net/anime/2921/Ashita_no_Joe_2,Ashita no Joe 2,Tomorrow's Joe 2,Manga,47,Finished Airing,10/13/1980,8/31/1981,24,PG-13 - Teens 13 or older,8.72,19188,51,3009,fall,1980,1980,Unknown,Annapuru,Tokyo Movie Shinsha,"Drama, Sports",Combat Sports,Shounen,49292
48569,https://myanimelist.net/anime/48569/86_Part_2,86 Part 2,86 Eighty-Six Part 2,Light novel,12,Finished Airing,10/3/2021,3/19/2022,23,R - 17+ (violence & profanity),8.71,254753,52,468,fall,2021,2021,Sundays,"Aniplex, Kadokawa, Bandai Spirits",A-1 Pictures,"Action, Drama, Sci-Fi","Mecha, Military",NA,458057
50172,https://myanimelist.net/anime/50172/Mob_Psycho_100_III,Mob Psycho 100 III,Mob Psycho 100 III,Web manga,12,Finished Airing,10/6/2022,12/22/2022,23,PG-13 - Teens 13 or older,8.71,281775,53,334,fall,2022,2022,Thursdays,"Shogakukan-Shueisha Productions, Warner Bros. Japan, KlockWorx, BS Fuji, Hakuhodo DY Music & Pictures, Shogakukan",Bones,"Action, Comedy, Supernatural",Super Power,NA,612114
21,https://myanimelist.net/anime/21/One_Piece,One Piece,One Piece,Manga,,Currently Airing,10/20/1999,,24,PG-13 - Teens 13 or older,8.71,1271934,54,19,fall,1999,1999,Sundays,"Fuji TV, TAP, Shueisha",Toei Animation,"Action, Adventure, Fantasy",NA,Shounen,2247573
1575,https://myanimelist.net/anime/1575/Code_Geass__Hangyaku_no_Lelouch,Code Geass: Hangyaku no Lelouch,Code Geass: Lelouch of the Rebellion,Original,25,Finished Airing,10/6/2006,7/29/2007,24,R - 17+ (violence & profanity),8.7,1364175,56,21,fall,2006,2006,Fridays,"Bandai Visual, Mainichi Broadcasting System, Bandai, Sony Music Entertainment, Bandai Namco Entertainment, Hakuhodo DY Media Partners",Sunrise,"Action, Award Winning, Drama, Sci-Fi","Mecha, Military, School, Super Power",NA,2187945
245,https://myanimelist.net/anime/245/Great_Teacher_Onizuka,Great Teacher Onizuka,Great Teacher Onizuka,Manga,43,Finished Airing,6/30/1999,9/17/2000,25,R - 17+ (violence & profanity),8.69,394881,57,218,summer,1999,1999,Wednesdays,"Aniplex, Fuji TV",Pierrot,Comedy,"Delinquents, School, Workplace",Shounen,802569
21939,https://myanimelist.net/anime/21939/Mushishi_Zoku_Shou,Mushishi Zoku Shou,Mushi-shi: Next Passage Part 1,Manga,10,Finished Airing,4/5/2014,6/21/2014,24,PG-13 - Teens 13 or older,8.69,115752,58,781,spring,2014,2014,Saturdays,"Aniplex, Kodansha, Delfi Sound",Artland,"Adventure, Mystery, Slice of Life, Supernatural","Adult Cast, Historical, Iyashikei",Seinen,292656
45576,https://myanimelist.net/anime/45576/Mushoku_Tensei__Isekai_Ittara_Honki_Dasu_Part_2,Mushoku Tensei: Isekai Ittara Honki Dasu Part 2,Mushoku Tensei: Jobless Reincarnation Part 2,Light novel,12,Finished Airing,10/4/2021,12/20/2021,23,R - 17+ (violence & profanity),8.69,521047,59,195,fall,2021,2021,Mondays,"Frontier Works, TOHO, TOHO animation, Tokyo MX, Hakuhodo DY Music & Pictures, BS11, Egg Firm, Kadokawa, GREE Entertainment",Studio Bind,"Adventure, Drama, Fantasy, Ecchi","Isekai, Reincarnation",NA,844188
46102,https://myanimelist.net/anime/46102/Odd_Taxi,Odd Taxi,Odd Taxi,Original,13,Finished Airing,4/6/2021,6/29/2021,23,PG-13 - Teens 13 or older,8.68,200358,61,541,spring,2021,2021,Tuesdays,"TV Tokyo, Dentsu, Pony Canyon, AT-X, Crunchyroll, Pony Canyon Enterprises, Yoshimoto Kogyo","OLM, P.I.C.S.","Award Winning, Drama, Mystery, Suspense","Adult Cast, Anthropomorphic, Organized Crime",NA,405937
54898,https://myanimelist.net/anime/54898/Bungou_Stray_Dogs_5th_Season,Bungou Stray Dogs 5th Season,Bungo Stray Dogs 5,Manga,11,Finished Airing,7/12/2023,9/20/2023,23,R - 17+ (violence & profanity),8.68,44176,62,1606,summer,2023,2023,Wednesdays,"WOWOW, Lantis, Movic, Glovision, Crunchyroll, Sunrise Music, Kadokawa, Sony Music Solutions, Bandai Namco Music Live",Bones,"Action, Mystery, Supernatural","Adult Cast, Detective, Organized Crime, Super Power, Vampire",Seinen,133792
33352,https://myanimelist.net/anime/33352/Violet_Evergarden,Violet Evergarden,Violet Evergarden,Light novel,13,Finished Airing,1/11/2018,4/5/2018,24,PG-13 - Teens 13 or older,8.67,937167,64,49,winter,2018,2018,Thursdays,"Lantis, Pony Canyon, Rakuonsha, ABC Animation",Kyoto Animation,"Drama, Fantasy",NA,NA,1715388
